"V1","V2","V3"
-0.386483577404578,-1.08888183156949,-1.34477663228114
-1.15404752977432,-1.01203539174018,-0.80637776861326
-0.329671260082103,-0.958849577806382,-1.19157727348957
-0.476329398014096,-1.32289695264242,-1.01501408595771
-0.280837819778106,-0.967109352554577,-0.793047432742
-1.40899544945132,-1.22064026929183,-0.49059514493929
-1.47653298001754,-1.01509526254673,-0.928494050078714
-1.8203390805388,-0.939949829000543,-1.40344874635316
-0.219281198304751,-0.913388487543305,-0.808968493235041
-1.19341285781578,-0.794483412520533,-0.768286891918327
-0.628169513862028,-1.18496507369723,-0.960768414833779
-1.09329462282573,-0.548515050810926,-0.998466004441436
-0.484202342203054,-0.95059113009498,-1.1650439740449
-0.540360769181544,-0.935206511142164,-1.81706658762517
-0.847233653001741,-0.651513370089698,-0.509443489907632
-0.916785641216873,-0.771140759266092,-0.983293256016088
-1.40121669741927,-0.454058998860595,-1.31571957952734
-0.297109067967306,-0.859693144026843,-0.681360217800002
-1.57931798986204,-1.12083469300134,-1.23788896686071
-0.861811765317758,-0.930942088050591,-1.0014203372427
-1.1842976278601,-1.15769634763283,-1.6008006277209
-0.714307735681908,-0.852316285296718,-0.679362860921112
-1.48292644643827,-1.23405448468094,-0.792100116691924
-0.792961874996342,-0.595687121276814,-1.07905305632968
-1.69389318833803,-1.3032518656472,-1.18653400084116
-1.57778094419547,-0.772665983521966,-0.631684473225302
-0.22981543502719,-1.31939790014947,-0.634063919756427
-0.926460842998974,-0.888343499605005,-0.826144055831544
-1.31749347599483,-0.930313758738731,-0.64174199345248
0.0549668376874732,-1.41523631773508,-1.11512939932363
-0.661784387168884,-0.862580003931506,-0.505565281521142
-1.30466766363952,-1.32292273525372,-0.953424536735996
-1.85958375273775,-1.22555759714432,-1.38791268490462
-0.741742241867071,-1.44885560923822,-1.45393842876988
-0.852589788860866,-0.598588843221072,-1.22225720010845
-1.70151160361706,-0.953984243233842,-0.968827239451045
-0.313249536590649,-0.9406366009734,-0.812805024173267
-1.40519830079352,-0.53194878054047,-0.820089968143128
-0.578062053052037,-1.4846722667592,-0.72804735621043
-0.71188331925171,-1.04258759419905,-1.25442190651214
-1.25431342016059,-0.667704931344406,-0.737965604291517
-1.9480192551941,-1.38523334557029,-1.16355811921079
-1.76863167890433,-0.857822592552805,-1.20509090793446
-0.982582799633566,-1.06367070554599,-1.24236323970408
-0.0052876031000515,-1.59257376075807,-1.06385201195139
-1.11711059956762,-0.872274528705957,-1.224931316391
-1.94056864925854,-0.801592792030416,-1.32480148181295
-0.16854967473956,-0.358932387896297,-1.18037005685121
-0.520548976378397,-1.01670160080472,-0.90204523854422
-1.2690580495146,-1.17533045630445,-0.762916586285716
-1.4197031571049,-0.570858335911826,-0.61735119925515
-0.768874798950829,-0.72572725452514,-1.03763889706944
-0.733636768251707,-0.836770275455941,-0.598973041510274
-0.0159888571940834,-1.32898144252585,-1.38239295012671
-1.71319343146454,-0.83943880751814,-1.00821129714832
-1.3830064529324,-1.01423632886808,-1.39793209598882
-0.330730399312554,-0.829714764773675,-1.42059758511071
-0.900302587429407,-0.58602255513688,-0.78811027614738
-0.626672272003157,-1.05540841041649,-1.22102073021032
-1.00523364062413,-0.682240320334626,-0.728959961506608
-2.0981010734654,-0.608402738175534,-1.36576798849785
-1.02087415606469,-0.716620921340661,-0.945509257418841
-0.368723478824683,-0.628669258411285,-1.62056123932889
-0.81785420456593,-1.04837572805314,-1.03710955413093
-0.892062086511659,-0.878891683154036,-1.03032791379406
-0.83828518188405,-1.11263999438642,-1.16500036086869
-1.08932153361268,-0.848902289278018,-0.743004433519105
-0.642024587802542,-1.23637193672863,-0.763694539839564
-0.641264239335573,-1.60622013514361,-1.08753377788197
-0.607710968043909,-1.08924262873543,-0.909508108421749
-1.67957746962072,-1.15918374973059,-1.24440664412959
-0.707238418240292,-0.778082565705643,-0.586730798570891
0.302743196849012,-0.573639530570342,-0.441404418919329
-0.350818618395087,-0.840446821826551,-0.476166714153516
-0.194321829268285,-1.29749055493824,-1.14808227182604
-0.720750515599112,-0.920291394723018,-1.39719477444198
-1.15375564107589,-1.07693667926574,-0.92583985737605
-0.906909663015821,-1.51125619930162,-0.963508629717743
-0.565103444665376,-1.29289250203883,-1.66736479148321
-0.542724878759564,-0.770416625986888,-0.585243889556553
-0.453453452200338,-1.13182673363709,-0.840354711594577
-0.369306156711776,-0.946342799319674,-0.992517468272025
